name,location,introduce,field,pagenumber
희찬고,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 연구개발타워 6층(상암동) ","글로벌 소셜 웨딩 플랫폼 서비스, 인생샷 제공, 웨딩관련 업체 및 건강, 뷰티업체와의 1:1매칭 서비스 제공.",패션/뷰티,586
키즈그라운드,"서울특별시 성동구 왕십리로 222, 지하2층 B234호 ","멤버십 하나로, 아이에게 다양한 프로그램을 제공하는 키즈그라운드입니다.",교육,587
셀코리아,경기도 군포 ,"국내 최초, 국내 최대! 해외전자상거래 수출 B2B 도매 플랫폼을 개발하고 운영하는 기업입니다.",패션/뷰티,588
드림스폰,서울특별시 동대문구 경희대로 26 네오르네상스관 BI 118호 빌라노주식회사 ,"장학금의 모든것, 장학 플랫폼 드림스폰",교육,589
블루프린트랩,"USA 3003 N 1st st. 95134 San Jose,California.
 한국 : 서울시 마포구 백범로 31길 21 ",3D프린팅을 하기 위해 필요한 3D디자인을 쉽게 커스터마이징할 수 있는 소프트웨어 개발 및 제공,제조/하드웨어,590
텐미닛톡,경기도 성남시 분당구 판교로 323 1층 ,양방향 원어민 외국어회화 플랫폼 서비스,교육,591
페이플,서울 강남구 테헤란로34길 14 (역삼동) 302호,스타트업을 위한 통합간편결제,금융/보험/핀테크,592
투디엠,서울 강남구 강남대로98길 17 3층 투디엠 ,(주)투디엠은 투디페이 통합간편결제 플랫폼; 핀테크 P2P 통합간편결제 서비스를 제공하는 스타트업입니다.,금융/보험/핀테크,593
서울앤호텔,서울특별시 종로구 돈화문로 85(와룡동) 2층,우리는 더 나은 숙박문화를 위해 노력합니다. 당신만의 특별한 호텔을 디자인하세요.,여행/레저,594
E2ST, ,한손에 들어오는 캘리그라피 갤러리 [거래플랫폼],"(e)커머스,물류",596
라프텔,서울시 서대문구 연세로 50 연세대학교 공학원 119호 ,"10년 차 애니 덕후들이 만든 맟춤 애니 추천, 고화질 애니 스트리밍 서비스입니다.",콘텐츠,598
(주)엑스와이씨비,"서울 구로구 디지털로34길 27 (구로동, 대륭포스트타워3차) 809호","디지털 콘텐츠 (홍보 영상, 커머스 콘텐츠) 제작, 공공PR, 디지털 마케팅 등 다양한 마케팅 영역에서의 콘텐츠 제작 서비스를 제공합니다","광고/마케팅,콘텐츠",599
웨스트험밀,서울특별시 금천구 독산로36길 93 202호 ,매일 집앞으로 저렴하고 신선한 식자재를! 직접 대표가 만나보며 엄선한 상품만 올라옵니다! 신선한 맛과 기쁨은 전합니다.,푸드,600
비전, ,,알수없음,601
달사빠,대전광역시 서구 갈마로125번길 12 (갈마동) 지하1층 ,"핸드메이드 마카롱,컵케익,머랭쿠키 전문업체, 전국 가맹 및 공급",푸드,602
테이커스,"경기도 수원시 영통구 덕영대로 1731 (영통동)
 316호 ","소가죽 수제 디자인브랜드 테이커스입니다. 지갑, 콘돔파우치 등의 제품을 판매중입니다.","(e)커머스,물류",603
홀라컴퍼니,서울특별시 송파구 잠실동 331-14 4층 ,성인 커플들을 위한 놀이 문화 컨텐츠 제작소,소셜/미디어/커뮤니티,605
프로젝트에이,"서울 동작구 사당로2사길 33 (사당동, 예성휴캐슬) 401","라이브 중계  / 기업홍보영상, 뮤직비디오 제작",콘텐츠,606
타키온테크,서울특별시 구로구 경인로53길 90 STX-W 타워 513호 ,진짜 스마트팩토리 솔루션 Quality Guard,통신/보안/데이터/인프라,608
(주)비브로,"서울 서초구 반포대로14길 27 (서초동, 탑스벤처타워) 804호","모두가 건강하게 아름다운 삶을 살기(vivre)를 바라는 회사로써 사업영역 3대 축인 헬스케어, 스포츠, 재활에 관련된 제품을 생산하는 기업입니다.",헬스케어,610
디알코퍼레이션, ,"패션 원료 분야의 한국 스타트업 패션 소재와 단추, 지퍼 등 패션 원부자재를 디지털화해 패션 관련 종사자들이 손쉽게 이용할 수 있도록 한 플랫폼",패션/뷰티,612
마인드스틸,서울 성동구 금호동1가 1-166 마인드스틸,해외스냅작가 예약/중계 서비스 우리는 ART를 삶과 연결시키는 서비스와 기술을 제공하기 위해 일합니다. SNAPY는 인생에 있어 가장 기억하고 싶은 행복한 시간을 ART처럼 기록하기 위해 만들어졌습니다.,여행/레저,614
에그비앤비,"서울특별시 구로구 디지털로26길 98, 3층 ","세계 속 한국의 집, 전 세계 한인숙소예약 플랫폼",여행/레저,616
아마존픽처스,서울시 강서구 마곡중앙로 161-17 보타닉파크타워 6층 ,"광고영상제작, 기업홍보영상, 제품홍보영상, 유튜브컨텐츠, 바이럴영상, 프로필촬영,제품촬영.",콘텐츠,617
앱닥터,서울특별시 강남구 삼성동 테헤란로507 wework 빌딩 ,고객님의 앱서비스를 완벽하게 만듭니다! 앱닥터는 정말 다양한 앱서비스 문제를 전문적으로 해결하는 회사입니다.,통신/보안/데이터/인프라,618
GoldenTime,서울시 서대문구 성산로 7길 100-1 ,,알수없음,621
아튜미술심리창작소,"서울특별시 은평구 통일로796, 북한산 힐스테이트7차 지하1층 상가 207호 ",아튜는 미술심리를 기반으로 창의적 미술활동을 통해 건강한 성장을 목표로 하고 있습니다. 아동부터 성인까지 미술치료와 미술심리프로그램이 있으며 필요시 심리상담까지 진행됩니다,교육,622
크래빌리,서울시 용산구 이태원동 658 1층 ,,"(e)커머스,물류",623
헬로우판다,서울특별시 마포구 잔다리로 48 ,콘텐츠 중심의 회사를 만들고자 2017년도에 태어났습니다. 헬로우판다는 다양한 사업에서 한 획을 긋는 작업을 통해 많은 사용자 층을 만족시키는 콘텐츠와 플랫폼 시장의 선두주자가 되겠습니다.,콘텐츠,625
모만,서울시 서대문구 연세로50 연세대학교 ,ALD Equipment & ALD Technical Consultancy & Material scanning,제조/하드웨어,626
에스씨유,"전라북도 전주시 완산구 천잠로 303, 전주대학교 본관
 창업보육센터 148호 (55069) ",단순함이 세상을 바꾼다는 모토로 SCU는 고객 여러분의 편의와 안전을 생각하여 제품을 제작합니다. 천연치약이 칫솔모에 코팅된 심플러 ( simpler ) 는 위생적이며 휴대가 용이한 제품입니다.,제조/하드웨어,627
코앤드,서울특별시 강서구 양천로583 우림블루나인 비즈니스센터 A동 604호 (염창동) ,"성장하는 오리 코앤드는 마케팅,프로모션,행사 등 이벤트 기획 및 관련 제품 디자인,제작 전문회사입니다.",광고/마케팅,628
바이수미,서울시 동대문구 답십리동 2-248 ,"일상을 축제처럼, 매일 조금씩 취향이 스타일이 품위가 드러나도록 고전을 현대적으로 재해석한 디자이너 잡화드랩드 입니다.",패션/뷰티,629
메리유,주소 서울시 강남구 역삼로180 ,예비부부와 웨딩플래너 매칭 서비스,패션/뷰티,630
캠퍼스스테이,"서울 중구 청계천로 40 (다동, 한국관광공사 서울센터) 7층",대학교 컨벤션ㆍ강당등 마이스기반 부대시설과 주펀호텔을 연계한 MICE베뉴 매칭 플랫폼서비스,부동산/프롭테크,631
엘케이엠에스리미티드,"서울 서초구 강남대로 311 (서초동, 한화생명보험빌딩) ",LKMS는 전문적이고 차별화된 네트워크를 통하여 기존의 복잡한 보험유통과정을 개선하고 고객에게 비합리적인 보험료를 합리적으로 제공 가능할 수 있도록 하는 국내최초 보험 컨설팅 전문기업입니다. ,금융/보험/핀테크,632
KNOCKOUT,​서울특별시 강남구 도산대로 57길 18(청담동 89-5) 대영빌딩 4층 ,"피트니스 트레이너가 아닌, 나만을 위한 라이프쉐이퍼를 만나다.",헬스케어,633
스타일닷컴,서울특별시 송파구 송파대로 201 송파테라타워 2 B동 1712호 (17층) ,스타일닷컴은 패션 브랜드 메타서비스 입니다.,패션/뷰티,634
비전꿈대학,서울특별시 마포구 월드컵북로5가길 18 ,"기업성공시크릿, 시스템경영 기법 & 솔루션 / 자기경영 실천훈련 솔루션",교육,636
블록포탈,서울특별시 강남구 대치동 ,"인터넷 상의 콘텐츠 생산, 소비, 분배 방식을 분권화함으로써 사용자가 만드는 모든 데이터에 가치를 부여하고 공정한 보상을 제공하는 분권화된 플랫폼을 제공",통신/보안/데이터/인프라,637
인프랩,성남시 분당구 삼평동 대왕판교로 645번길 12 경기창조경제혁신센터 8층 R10 ,인프런은 누구나 기술을 배우고 나누는 온라인 교육 플랫폼,교육,638
모두의셔틀,"서울 마포구 백범로31길 21, 717호(공덕동, 서울창업허브) ",피곤에 지친 직장인분들을 위한 동네 별 편안한 출근 여정을 만들어드리는 서비스입니다.,모빌리티,639
놈놈놈,서울 동작구 사당동 300-3 ,업소용 주방집기/가구도 손안에서 비교견적 받아보세요.,제조/하드웨어,641
PASAedu,서울특별시 영등포구 의사당대로 83 HP빌딩 위워크 22층 PASA컨설팅 ,제약 세일즈 아카데미,교육,642
에스오에스랩,"광주 북구 첨단과기로 123 GIST 123, BI 센터, B-101
 서울 강남구 역삼로 169 팁스타운 7층 룸A
 U.S. Silicon Valley) #221 KIC Startup Lab, 3003 North 1st Street. San Jose, CA ","자율주행 차량, 로봇, 드론의 눈 라이다 센서 스타트업입니다.","모빌리티,제조/하드웨어",643
터치웍스,서울시 강남구 언주로 540 코원타워 4층 ,"간편하게 적립하고 앱으로 모아보는
 멤버십 서비스",광고/마케팅,644
듀메리코리아,서울시 광진구 자양로 129 (자양동) Y tower 954호 ,환경과 동물을 생각하는 라이프스타일 패밀리브랜드,패션/뷰티,645
메이크스타,서울특별시 강남구 논현로80길 31 ,엔터테인먼트 관련 크라우드펀딩/굿즈 에약 판매 서비스,콘텐츠,646
와이엠컨설팅,서울시 서초구 양재천로 109 트윈빌딩 5층 ,서로(inter) 적합(fit)한 기업과 인재를 연결해 채용 문제를 해결하고자 합니다. Filtering과 Monitoring 이라는 차별화된 인재 검증을 통해 우수한 인재를연결해 주는 서비스 입니다.,교육,647
아이도트,서울시 성동구 성수일로 4길 25 서울숲코오롱디지털타워 1차 315호 ,"버즈폴은 2014년 6월에 설립한 스타트업으로 의료 ICT 분야에 특화된 회사입니다.
 2015년 벤쳐기업인증과 미래창조과학부 선정 300대 유망기업 K-Global 300 기업인증을 받은 회사입니다.
 병원용 고객관리 솔루",의료/바이오,648
커넥트핏, ,,법률/인사/비즈니스,649
째깍악어,서울 성동구 왕십리로 115 (성수동1가) 헤이그라운드 서울숲 703호,"째깍악어는 아이 돌봄이 필요한 부모님과 철저하게 검증, 교육된 돌봄교사를 연결하는 온디맨드 매칭 플랫폼",교육,650
식스랩,부산광역시 금정구 부산대학로 63번길 2 ,"불특정 소셜 인맥이 아닌, 
 믿을 수 있는 진짜 인맥, 친구와 소통하고, 
 내 인맥에 의해 게런티 된 인맥들을 발견하고 만나는,
 신뢰 관계망 네트워크 서비스",소셜/미디어/커뮤니티,651
트라이월드홀딩스,서울시 강남구 테헤란로 70길 14-8 9층 세왕개발빌딩 ,자동차의 가치를 더하다! 365 연장보증서비스.,모빌리티,652
에듀클라우드, ,글로벌 미래교육 사례를 위한 에듀테크 컨퍼런스 플랫폼,교육,653
에이블랩,경기도 성남시 수정구 성남대로1542번길 33 ,"MICE (Meeting, Incentive Trips, Convention, Exhibition & Event)분야에 대한 깊이 있는 이해를 바탕으로 VR 및 다양한 멀티미디어 기술에 아날로그 감성을 더한 인터렉티브 (",콘텐츠,654
공장공장,전라남도 목포시 영산로 40번길 5 ,"말도 안 되는 일을 계속하는 실험주의자를 위한, 공장공장.",여행/레저,655
자버,서초구 강남대로 311 드림플러스 821호 ,"복잡한 인사 프로세스, 자버로 간단하게 관리해보세요. 입력, 신청 클릭만으로 손쉽게 처리되는 인사관리의 모든 것.",법률/인사/비즈니스,656
시프티,서울특별시 마포구 양화로 161 케이스퀘어 719호 ,"시프티는 직원 근무일정, 출퇴근기록 그리고 급여정산까지 해결하는 소프트웨어입니다.",법률/인사/비즈니스,657
다원앤딜,"서울특별시 서초구 효령로 428, 502호 ","결혼 준비의 새로운 가이드, 웨딩해, 정찰제 웨딩 상품과 최신 웨딩 정보를 만나보세요.","(e)커머스,물류",658
데일리앤코,"서울시 서초구 효령로77길 28, 8층 (서초동, 동오빌딩) ","D2C(Direct To Consumer) 방식을 주로하는 컨텐츠 커머스 기업입니다. """"잘 만든 제품""""을 """"잘 만든 컨텐츠""""로 고객들에게 직접 전달하는 일을 합니다.",패션/뷰티,659
펫츠고트래블,서울시 강남구 테헤란로 4길6 310-25 ,"반려동물 동반 여행 어플리케이션 '""펫츠고'""",여행/레저,660
JHSUSTAIN, ,,"법률/인사/비즈니스,컨설팅",661
키튼플래닛,경기도 성남시 수정구 대왕판교로 815 판교창조경제밸리 기업지원허브 ,우리 아이의 구강건강을 책임져 줄 양치교육 서비스! 체계적인 양치 가이드로 쉽고 재미있게!,헬스케어,662
말랑하니,"부산 해운대구 센텀중앙로 97 (재송동, 센텀스카이비즈) 센텀스카이비즈 A동 1311호",유아용품 제조 및 판매,"(e)커머스,물류",663
에이에스엔,"서울시 구로구 디지털로32길 30, 701호 (구로동, 코오롱빌란트) ",세상의 모든 도움을 주고받는 실시간 생활도움 중개앱,리빙/라이프스타일,665
룰루랩,서울특별시 서초구 강남대로 311 ,"사람들은 화장품을 고를 때, 많은 시간과 돈을 쓰지만, 실제로 자신에게 가장 적합한 제품을 고르지는 못하게 됩니다. 이런 객관적 정보의 부재를 데이터화 시키는데 주력하고 있습니다.",패션/뷰티,666
트레드링스,"[본사] 인천시 연수구 송도문화로 119, 인천글로벌캠퍼스 복합문화센터 B1층 B1039호
 [서울지점] 서울시 강남구 학동로 128 양산빌딩 5층 (논현동 가구거리) ",트레드링스 플랫폼을 통해 합리적이고 가시성 있는 수출입 물류 서비스를 경험하실 수 있습니다.,"(e)커머스,물류",667
(주)브로나인,"서울 강남구 테헤란로34길 19 (역삼동, 영빌딩) 4층",전압과 전류에 상관없이 모든 전자기기 충전이 가능한 충전 기술 개발,제조/하드웨어,668
포하스,"서울 성동구 광나루로8길 10 (성수동2가, 에이스성수타워1) 105호","새로운 타입의 증강현실 포토 키오스크를 제조하는 기업입니다.  항상 최고의 품질 및 새로운 아이디어로 연구개발에 매진하고 있습니다. 단순 정보전달의 목적인 키오스크가 아닌 고객의 적극적인 참여를 통한 다양한 엔터테인먼트 컨텐츠를 생산할 수 있어, 쇼핑센터등 다양한 사업장에 적용이 가능합니다.",제조/하드웨어,669
디바인핸즈,서울 강남구 선릉로 148길 5층 ,"""""당신이 좋아하는 것이면 무엇이든 하라""""는 디바인핸즈의 브랜드 철학은 고객이 원하는 트랜드를 가장 빠르게 읽고, 고객이 가장 좋아할 스타일링을 가장 먼저 제공한다는 데에 있습니다.",패션/뷰티,670
부산인가배,"부산 중구 백산길 20 (동광동3가, 타워호텔) 카페이네이티드","커피케이터링서비스, 팝업카페운영, 공간위탁운영 등의 사업을 통해 부산의 워크&라이프스타일을 지원합니다.",푸드,671
엠커넥, ,,알수없음,672
살맛,경기도 파주시 산남로 195번길 13-1 ,가치를 위해 소비하는 착한 소비자를 위한 온라인 푸드마켓,푸드,673
주식회사 짐캐리,"부산 남구 신선로 365 (용당동, 부경대학교용당캠퍼스) 4층 412호",수하물 보관 및 운송 서비스,"(e)커머스,물류",674
시프트디자인컨설팅,부산 해운대구 센텀동로 57 ,제품-서비스디자인을 하는 위주로 하고있습니다. 서비스디자인씽킹과 신뢰성있는 제품디자인 개발을 지원합니다.,법률/인사/비즈니스,675
텍스타일러,"부산 사하구 낙동대로550번길 37, 105호(하단동, 동아대창업보육센터) ",편조제품 제조업체,패션/뷰티,677
와이오엘오,"서울특별시 마포구 백범로 35, 서강대학교 아루페관 3층 (주)와이오엘오 ",여행자들을 통해 마음을 전달하자 라는 모토로 서비스를 만들고 있는 회사입니다. 사람들이 쉽고 빠르게 해외직구를 이용할 수 있도록 중간에서 구매자와 여행자를 매칭해주는 서비스 입니다.,"(e)커머스,물류",679
미디어브릿지,"서울특별시 강남구 테헤란로2길 8, 4층 ","유튜브, SNS를 넘어 LIVE 방송까지 다양한 채널에 크리에이터와 인플루언서의 생태계를 창조하고 활성화를위해 정진하고 있습니다.",콘텐츠,680
인터폴라랩스,"서울 강남구 테헤란로 302 (역삼동, 위워크타워) 12층",오프라인 구매자 그룹핑 및 주문 서비스 솔루션을 보유하고 있습니다.,소셜/미디어/커뮤니티,681
비트바이트,"서울시 종로구 종로 6, 5층 ","이모티콘&콘텐츠 추천 키보드 '""플레이키보드'""를 서비스하는 비트바이트입니다.",콘텐츠,682
휴모트메디컬,"경북 경산시 와촌면 솔구불길 18 (소월리, 첨단메디컬융합섬유센터) 503호","Humott는 사람을 위한 기술로 사람을 행복하게 하는 뜻을 내포하고 있습니다.  휴모트의 모든 제품은 신뢰와 검증을 바탕으로 개발하며,  적정기술을 이용하여 인간의 삶의 질을 향상시키며, 정직과 책임이라는 기본을 지키는 회사입니다.",헬스케어,683
한국해양콘텐츠개발,"부산 영도구 봉래나루로 33 (대교동1가, Sea-Side Complex Town) ",.,제조/하드웨어,684
이카이스,서울특별시 강남구 선릉로 119길 15 더비트 빌딩 4F ,"회사에서 쓰는 영어, 컨설턴트 출신이 만드는 링글 교재로 배워 보세요. 가입시 교재 무료 제공. 영어권에 오래 산 분들도 링글로 '""좋은 영어'""를 공부합니다.",교육,685
도움팩토리,서울 강남구 선릉로 513 ApexTower 8층 5호 ,도움팩토리는 풍부한 교육현장경험을 바탕으로 학생들이 효율적이고 체계적인 학습 관리를 통해 자신의 가능성을 최대한 발휘 할 수 있도록 돕기 위해 설립한 교육 스타트업입니다.,교육,686
슈퍼박스,"서울 구로구 디지털로31길 53 (구로동, 이앤씨벤처드림타워5차) 12",창의적이고 재미나는 컨텐츠로 모바일 게임의 미래를 열어나가는 슈퍼박스.,게임,687
혼밥인의만찬,"서울특별시 강남구 역삼로 165, 팁스타운 S1 해성빌딩 2층 (주)혼밥인의만찬 ",1인가구를 위한 O2O 푸드테크 플랫폼입니다.,푸드,688
휴마트컴퍼니,"서울시 강남구 테헤란로79길 6, JS 타워 3층 ","언제 어디서나 전문 상담사와 상담이 가능한 서비스, 빅데이터와 IT 기술을 적용해 정신건강에 대한 체계적 진단과 심리상담 및 치료를 다루는 멘탈헬스케어 전문 기업입니다.",헬스케어,690
씨엘,"경기 안양시 동안구 동편로 54-11 (관양동, 디어스) 6층 B호","편하게 그리고 빠르게! 5분만 더 자고 싶은 출근길, 업무에 시달려 지친 퇴근길, 만원버스, 지옥철에 서서 가지 않아도 됩니다.편하게 앉아 부족한 잠을 보충할 수 있는 나를 위한 좌석이 셔틀콕에 있습니다.",모빌리티,691
에듀비긴,"서울특별시 강남구 테헤란로82길 15(대치동, 디아이타워) 1827호 ",실시간 온라인 대치동 학원 수학시험,교육,692
토닥,"서울 구로구 디지털로 242 (구로동, 한화비즈메트로1차) 1407호",신경 인터페이스 이식형 의료기기,헬스케어,694
조인스오토,"서울특별시 강남구 도곡로112 (도곡동, 서한빌딩) ",폐차견적 비교서비스,모빌리티,695
리앤플러스,서울특별시 강남구 테헤란로8길 28-4 1층 ,"투자자들의 안전환 투자금 보호를 위해 자체 투자금 보호 플랜인 """"세이프플랜"""" 으로 보다 안전한 투자를 지원합니다.",금융/보험/핀테크,697
카테노이드,서울특별시 강남구 테헤란로 416 연봉빌딩 13층 ,"카테노이드는 국내 최초 온라인 비디오 플랫폼 서비스 기업으로 풍부한 경험과 노하우로 안정적이고 다양한 플랫폼 서비스 제공합니다.
 동영상 미디어 분야의 리딩 컴퍼니로 성장하여 다양하고 편리한 OVP 서비스 가치를 제공하는",소셜/미디어/커뮤니티,698
코어사이트,"경기도 성남시 수정구 시흥동 대왕판교로 815, 판교 제2테크노밸리 기업지원허브 창업존 8층 802호 ",빅데이터 기술을 기반으로 한 게임에 최적화된 분석 서비스입니다.,게임,699
베스트클래스,서울 강남구 청담동 84-18 ,"1%의 초대받은 남녀, 그들만을 위한 BEST CLASS.",소셜/미디어/커뮤니티,700
잔나비,인천광역시 남구 인하로100 인하드림센터3관 201호 ,"대체식재료를 찾아 새로운 레시피를 개발하는 기업입니다.
 잔나비는 모든 사람들이 안전하게 음식을 먹을 수 있는 세상을 꿈꿉니다.",푸드,701
원온원게임즈, ,,게임,702
버프스튜디오, ,인디 게임부터 AAA 게임까지 다양한 장르와 규모의 게임을 출시하고 있습니다. 작년에는 모바일 게임 세븐데이즈 론칭도 하였습니다.,게임,703
포자랩스,"서울 강남구 강남대로 382 (역삼동, 메리츠타워) D2 16층","'음악을 사랑하는 사람들이 쉽게 음악을 만들 수 있도록'이라는 미션을 가지고, 자신의 이야기를 음악으로 표현하는 경험을 누구나 쉽게 즐길 수 있는 서비스를 만들고 있습니다. 음반제작사, 뮤지션, 아마추어를 포함한 모든 창작자들이 내면의 영감을 더 좋은 음악으로 표현할 수 있도록 도울 것 입니다.",콘텐츠,704
딥픽셀,"서울 서초구 방배로 180 (방배동, 유중문화재단) 204호",컴퓨터비전 및 기계학습을 이용하여 차세대 AR커머스를 위한 가상착용 기술을 개발 및 서비스하고 있습니다.,패션/뷰티,705
메리먼트,서울특별시 동대문구 고산자로 502 (제기동) 505호 ,"스포티하고 젊은 감성의 고객들에게 메리먼트를 바탕으로 우리들만의 일상과 여행, 문화 공감대를 형성하는 트렌드한 감성을 추구합니다.",패션/뷰티,706
위네트, ,"'""사람과 사람 사이의 비즈니스를 연결합니다.'""라는 미션 아래, 비즈니스 O2O 서비스인 비즈커넥션을 진행합니다.",광고/마케팅,707
오리온시스템즈,"경기도 안양시 동안구 벌말로 123 A동 1010호 (관양동, 평촌스마트베이) A동 1010호",좀 더 나은 환경자동화시스템 구현을 목표로 순수함과 열정을 품고 시작한 젊은 기업으로 급변하는 I.T.기술을 환경 자동화 스스템에 접목시켜 기존의 시스템과 확연한 차별화를 두고자 시작하였습니다.,제조/하드웨어,708
요트탈래,부산 해운대구 해운대해변로 84 (우동) 수영만요트경기장 본관 107호,부산요트투어. 부산요트투어 만족도 1위를 위해 최선을 다하는 요트탈래입니다.,여행/레저,709
제이미미디어웍스,서울시 강남구 선릉로 132길 50 (청담동 44-17) MONO HOUSE 4F ,"촬영, 모션그래픽, 3D그래픽, VR 등의 다양한 영상 기법을 바탕으로 비주얼 솔루션을 제공하는 미디어 컨텐츠 프로덕션 입니다.",콘텐츠,710
한국진로진흥원,부산광역시 부산진구 중앙대로 979 동성빌딩 6층 ,"탁월한 교육 프로그램 해당 분야 전문가와 연구소, 박사진의 검증을 마친 이력과 현직에서 뽑아 온 실전교육의 완벽한 조화로 최상의 교육을 제공합니다.",교육,711
팀엘리시움,"서울 서초구 효령로29길 77 (방배동, 네오피스) 2층 팀엘리시움","의료 분야에서 최신 IT 기술의 접목이 필요한 부분들을 찾아내고, 관련 의료용 소프트웨어 및 하드웨어 개발을 통한 의료 환경 개선에 힘 쓰고 있습니다.",헬스케어,713
라이징팝스,서울 강남구 학동로28길 5 (논현동) ,"욕조회사 마케팅 회사라면 욕조 할인 이벤트와 광고를 기획하겠지만,  PR 회사라면 건설사가 화장실 면적을 보다 크게 만들도록 할 것입니다.  그러기 위해서 '큰 화장실을 선호한다'는 소비자 선호도 조사를 하고,  목욕이 건강에 좋은 점을 언론에 기고할 것 입니다.  그리고 아이와 부모가 즐겁게 목욕하고 있는 모습을 영상으로 담을 것입니다.",광고/마케팅,714
슈퍼브에이아이,"서울 종로구 종로1길 50 (중학동, 더케이트윈타워) (광화문위워크)","Superb AI는 산업 전반의 단순반복 업무를 보조하고, 의사결정을 돕는 등 사람과 함께 협력하는 Human-in-the-Loop AI 기술을 만들고, 이를 통해 인간의 역량과 가치를 높이는데 기여하는 것을 목적으로 합니다.",통신/보안/데이터/인프라,715
하이퍼클라우드,서울특별시 강남구 테헤란로 501 (경암빌딩) 브이플렉스 6층 614호 ,"우리는 현명한 소비를 돕는 실속있는 스타트업 제품들을 한곳에 모았습니다.
 바로 여기 스타트업 전문쇼핑몰, 스샵입니다.","(e)커머스,물류",716
오토이즈,서울시 강남구 역삼동 640-11 예양빌딩 4층 ,CONNECTED CAR OPEN API 플랫폼과 자동차 견적 서비스,모빌리티,717
애드히어로,"경기도 성남시 분당구 대왕판교로645번길 14 네오위즈판교타워, 2층 애드히어로 ","테크 기반의 크리에이티브 그룹으로서, 각 포지션의 경계를 허물고 협업하여 히어로 개인의 성장과 인플루언서의 성장을 함께 도모합니다.",광고/마케팅,718
버킷플레이스,"서울 서초구 서초대로74길 4 (서초동, 삼성생명서초타워) 25층, 27층","셀프 인테리어, 원룸, 신혼집 꾸미기 필수앱",리빙/라이프스타일,719
잉크와오피스부산,부산광역시 연제구 거제시장로22번길 5 희망센트럴뷰 상가 106호 ,사무기기 노트북 카메라 기타 등등 렌탈장비,제조/하드웨어,720
스낵포,"경기도 성남시 분당구 대왕판교로 645번길 14, 네오위즈사옥 2B10호 ","간식 구매, 진열, 관리를 한번에! 스낵 24와 함께라면 간식 업무는 10분이면 충분합니다. 사무실 복지를 해결해 드립니다. 무료 냉장고. 반품 무제한. 무료 설치. 서비스: 무료 배송, 무료 진열, 무료 반품.",푸드,721
인사이터, ,7년간 500명이 거쳐간 성장 플랫폼입니다. 비즈니스를 주제로 한 다양한 프로그램을 통해 배움과 인연을 통한 성장을 경험할 수 있습니다.,교육,722
디브로스실버라이닝,서울시 광진구 자양로 86 세경빌딩 4층 ,"디지털 종합광고대행사, 바이럴영상, 소셜 전략 및 커뮤니케이션, 디지털 플랫폼 구축 , 크로스미디어이노베이터",광고/마케팅,723
코드윙즈,서울시 관악구 관악로 서울대학교 해동학술관 301호 ,코드윙즈는 최고의 멘토진과 최상의 교육 시스템으로 4차산업혁명 시대를 선도하는 SW인재를 육성합니다.,교육,724
손손컴퍼니,서울특별시 중구 다산로18길 29 (신당동) 중앙빌딩 2층 ,"나에게 딱 맞는 옷을 발견하는 기쁨, 그 즐거운 경험을 가장 중요하게 생각합니다. 수천명의 모델과 수십만벌을 생산한 경험과 노하우를 바탕으로 브랜드를 만듭니다.",패션/뷰티,725
오케스트라스토리,"서울 서초구 서초중앙로 56길, 8층 ","소셜임팩트 기업으로 오케스트라 음악교육을 통해 실업자 양산에 기여한 그동안의 클래식 음악교육 바꾸고, 교육생들에게 신규 일자리를 마련해 주려고 합니다.",교육,726
채티스,"부산 금정구 부산대학로63번길 2 (장전동, 부산대학교) 효원산학협동관 309호",채팅의 무한한 가능성을 생각합니다. 단순 고객 응대를 넘어 챗봇을 통해 가치를 실현하고 꿈을 꾸는 기업입니다,소셜/미디어/커뮤니티,727
스타엘,부산 강서구 유통단지1로 41 T-plex 128-218 ,"부산 VIP, Guest 의전 및 수송을 담당하고 있는 Star-L 입니다.!! VIP의전뿐만 아니라 Guest 수송, 투어이벤트 서비스를 하고 있습니다.",여행/레저,728
유이수,부산광역시 해운대구 센텀동로41 301호 ,"중국인 고객이 본인의 스마트폰으로 
 QR코드를 스캔합니다. 추가 POS 기기 설치 없이
 QR코드 부착만으로 서비스 설치가 완료됩니다.",금융/보험/핀테크,729
캐드서브,서울 구로구 구로동 415-37 205 ,"글로벌 지향 모바일서비스, 보안인증 스타트업 회사입니다.",통신/보안/데이터/인프라,732
피엔푸드시스템,서울특별시 송파구 충민로 52 가든파이브웍스 B동 6층 10호 ,"전통 이탈리아 피자 자동제조판매 기계를 세계최초로 개발, 국제특허를 득한 제품을 독점권과 함께 국내 최초로 도입. 피자 자동제조판매기.",제조/하드웨어,733
마이노멀컴퍼니,"서울 서초구 강남대로95길 40 (잠원동, 광운빌딩) 4층",저탄수화물 고지방 식이요법 푸드 전문기업,푸드,734
다티스트,"서울시 서초구 반포대로20길 61, 동성빌딩 4층 ","Dot + Artist 의 합성어입니다. 대한민국을 넘어 아시아, 미국, 유럽 등의 글로벌 라이선싱 그룹을 목표로 다양한 콘텐츠 사업을 진행중입니다.",콘텐츠,735
