name,location,introduce,field,pagenumber
소셜빈,"부산 동구 충장대로 160 (초량동, 협성마리나G7) 상가B동(STORE B) 303호","유아, 생활, 반려동물 용품 제조 및 인플루언서 커머스 플랫폼 핫트 운영을 하는 회사입니다.","(e)커머스,리빙/라이프스타일",28
네이버,"경기 성남시 분당구 정자일로 95 (정자동, 네이버 1784) .",네이버는 미래 기술을 누구나 손쉽게 사용할 수 있도록 기술플랫폼으로서의 변화를 ... 디지털 만화 서비스 네이버웹툰 등을 서비스하고 있는 글로벌 ICT 기업입니다.,소셜/미디어/커뮤니티,29
나이스페이먼츠, ,NICE페이먼츠는 다양하고 안전한 결제서비스를 제공합니다. No.1. Innovate Challenge Enjoy. NICE페이먼츠는 다양하고 안전한 결제서비스를 제공합니다.,금융/보험/핀테크,30
카카오,"경기 성남시 분당구 판교역로 235 (삼평동, 에이치스퀘어 엔동) 7층","카카오는 모바일 메신저 업체인 카카오와 다음커뮤니케이션이 합병하여 만들어진 회사로, 쇼핑, 동영상 등 다양한 생활 기능을 제공하는 ‘모바일 라이프 플랫폼’ 기업입니다.",소셜/미디어/커뮤니티,31
카카오모빌리티,"경기 성남시 분당구 판교역로 152 (백현동, 알파돔타워) 13층","카카오모빌리티는 생활 속 이동이 조금 더 편리해지고, 그 방법도 더 다양해져야 한다고 생각합니다. 오고 감의 불편함이 줄어들고 답답한 시간이 짧아진다면, 소중한 시간은 길어지고 할 수 있는 일은 더 많아진다고 믿습니다.",모빌리티,33
메타플랫폼,"서울 강남구 테헤란로 231 (역삼동, 센터필드) 25층, 26층, 27층",.,소셜/미디어/커뮤니티,34
구글코리아,"서울 강남구 테헤란로 152 (역삼동, 강남파이낸스센터) 22층",-,소셜/미디어/커뮤니티,35
롯데벤처스,서울 강남구 테헤란로69길 5 (삼성동) DT센터 14층,스타트업 발굴 및 육성과 투자까지,스타트업 생태계,36
한화생명보험(주)서초,서울특별시 서초구 강남대로 311 ,"한화 드림플러스는 창업부터 사업확장, 글로벌 진출까지 스타트업 생애주기의 전 영역에 걸쳐 솔루션을 제공하는 ‘대한민국의 유일한 오픈 이노베이션 플랫폼'""입니다.",금융/보험/핀테크,37
아산나눔재단,서울 강남구 역삼로 172 (역삼동) .,창업지원센터 (마루180) 및 다양한 창업 생태계 지원활동,스타트업 생태계,38
넷플릭스,서울특별시 종로구 우정국로 26 센트로폴리스 타워A 20층 ,"190여 개국에서 1억 5,800만 개의 유료 멤버십을 보유한 세계적인 엔터테인먼트 스트리밍 서비스",콘텐츠,43
한국산업은행,서울특별시 영등포구 은행로 14(여의도동) ,은행업,금융/보험/핀테크,44
팀터바인, ,팀터바인은 스타트업의 커뮤니케이션을 돕는 컨설팅팀입니다.,교육,46
빌리프랩,서울 강남구 테헤란로87길 36 도심공항타워 24층 (주)빌리프랩 ,콘텐츠 IP기반 미디어 사업,콘텐츠,47
벤처스퀘어,서울시 강남구 역삼로 169 명우빌딩 5층 벤처스퀘어 ,스타트업 전문 미디어 서비스 외 스타트업 육성 및 투자,"소셜/미디어/커뮤니티,콘텐츠",48
